"Lot","ln_N0","N0","var_N0_CRR"
465,-3.11902265059185,0.0442003464987116,0.3262
466,-0.661209259547082,0.516226704826853,0.3294
467,0.867017677353813,2.37980291957588,0.3423
468,-2.47083137461399,0.084514566520804,0.3428
469,-1.851743987302,0.156963185670997,0.3357
470,-3.86501182297643,0.0209626745943788,0.3065
471,-0.403268801965708,0.66813247985967,0.3459
472,-1.74600205752438,0.174470072294441,0.3369
473,-0.735963111039709,0.479043864292903,0.3386
474,0.283921461983752,1.32832860236262,0.3311
475,-2.07789670585826,0.125193253711891,0.3306
476,-2.16716718535519,0.114501519497521,0.3422
477,-3.44402437824257,0.0319359042116412,0.3276
478,-0.955784577740776,0.384510347916925,0.3411
479,-1.76709232974704,0.170828981732575,0.3427
480,-3.41912081361848,0.0327412079128744,0.3275
481,-2.93376521971638,0.0531963645914642,0.3274
482,-2.27567897614511,0.102727135476436,0.3313
483,-0.892738389106328,0.409532755815605,0.3355
484,-1.89936110110806,0.14966420898057,0.3287
485,-2.05734617129638,0.127792660112652,0.3405
486,-2.34007760372501,0.0963201631369962,0.3352
487,-1.08728208143683,0.337131545711341,0.345
488,-1.24553016302185,0.287788292967834,0.3431
489,-2.34599169622968,0.0957521979369564,0.3433
490,-1.16216137197177,0.312809352340316,0.3309
491,-0.150939456821121,0.859899758148142,0.3389
492,-1.67214745273909,0.187843247707162,0.3371
493,-2.9628781249812,0.051669990270635,0.3328
494,-1.47990720728213,0.227658812483674,0.3307
495,-0.883472755380014,0.413344970347887,0.3409
496,-3.0254621973032,0.0485353831617857,0.3329
497,-2.02175819686382,0.132422435573353,0.3383
498,-2.04689730866268,0.129134948545062,0.3359
499,-3.24482105003712,0.0389755384044146,0.3269
500,-0.250200524241223,0.778644630292047,0.3349
501,-1.77820502608218,0.168941120177381,0.3331
502,-2.82033003242594,0.0595862740608908,0.337
503,-1.8423963384272,0.158437301441406,0.3381
504,-1.20462573728556,0.299804184046415,0.3432
505,-2.84903394615657,0.0579002286039303,0.3368
506,-1.67685602621632,0.186960853013529,0.3374
507,-2.19871451046481,0.110945686252303,0.3373
508,-2.74824585137813,0.0640400985880863,0.3367
509,-1.19354075221289,0.303145996703777,0.3276
510,-1.28185030258561,0.277523322970842,0.341
511,-1.95169240311679,0.142033490142139,0.3356
512,-2.69243216034295,0.0677160426518965,0.3329
513,-1.95569696470487,0.141465845625594,0.346
514,-0.635321195226747,0.529765302901072,0.3394
515,-3.37247849974526,0.0343045081759662,0.3161
516,-3.50872762369017,0.0299349787735376,0.3144
517,-0.285170952531218,0.751885706567189,0.3368
518,-1.84661221562977,0.157770755259893,0.3385
519,-0.937741317972437,0.39151113660251,0.3453
520,-1.72875504660271,0.177505258242736,0.3349
521,-1.36860857055386,0.254460777558101,0.3362
522,-1.87723835419933,0.153012087996217,0.3332
523,-0.659614213507394,0.517050767221985,0.3364
524,-2.1576150656148,0.115600492125167,0.3344
525,-1.53140797143395,0.216231005809674,0.3329
526,0.0387068160069296,1.03946568427122,0.3361
527,-0.913475231111291,0.401127787203009,0.3376
528,-2.0539298850046,0.128229983010362,0.339
529,-2.90648727196649,0.0546674247815795,0.3292
530,-0.225642991115207,0.798002944958297,0.3407
531,-1.2294657217143,0.292448784983555,0.3419
532,-3.71259601489215,0.0244140616659938,0.3202
533,-2.52942162043889,0.0797051067615423,0.3364
534,-1.51614221694213,0.219557259547854,0.3367
535,-1.55301437742169,0.211609141651011,0.3307
536,-0.881098223733284,0.414327637286144,0.3365
537,-2.5424971950556,0.0786697007072716,0.3283
538,-2.32676596726259,0.0976109140763146,0.3338
539,-0.68439544623518,0.504395071358263,0.3294
540,-0.653275578202226,0.520338572560967,0.3367
541,-1.86341256435427,0.15514229291868,0.3343
542,-0.702820124285206,0.495186844358056,0.3366
543,-2.00267260746903,0.134974068056015,0.3321
544,-0.818778097835685,0.440970147823949,0.3323
545,-3.12317858301765,0.0440170340264337,0.3287
546,-3.35009945285075,0.0350808650353145,0.3283
547,0.81347067371416,2.25572329618733,0.3353
548,-2.73189084748213,0.0650960864544231,0.3348
549,-4.33472165241261,0.0131055214556266,0.302
550,-1.53726800335164,0.214967590656066,0.3416
551,-1.94051991940107,0.14362925472559,0.3321
552,-2.31689337581097,0.098579359418785,0.3432
553,-3.15414726793442,0.0426747756311105,0.3343
554,-0.807785270808549,0.445844398194197,0.3395
555,-2.83954701061143,0.0584521381665636,0.3337
556,-2.26849276821581,0.103468012893197,0.3421
557,0.222916852781146,1.24971665895138,0.3334
558,-4.09086741791263,0.0167247199431432,0.3025
559,-1.69386024049206,0.183808607292421,0.339
560,-0.0729700843894758,0.929628640018141,0.3318
561,-0.528732319657675,0.589351605775775,0.3343
562,-2.45800188503038,0.0856058304833844,0.3331
563,-1.05868449315141,0.346911875233763,0.3355
564,-1.36156985116655,0.256258173829622,0.3386
565,-0.431129620942294,0.649774680909472,0.3462
566,-1.63993520612082,0.193992611417512,0.3398
567,-2.28620626723799,0.101651369404458,0.3382
568,-1.84361821680115,0.158243828553389,0.3292
569,-1.76420291221486,0.171323291777549,0.3402
570,-2.90157453223502,0.0549366523924271,0.3346
571,-1.5667795235882,0.208716266985486,0.3366
572,-1.02437415814085,0.359021085533927,0.3366
573,-0.996316112449722,0.369237166983908,0.3396
574,-2.00933103549785,0.134078338323406,0.3381
575,-1.2183258197288,0.295724849423237,0.3393
