"Lot","mumax","var_mumax_CRR"
432,2.09947621959707,0.3397
433,2.44367367547823,0.3339
434,3.53832841043894,0.3326
435,3.29776985040602,0.331
436,3.39293719409922,0.3401
437,1.59010280130571,0.33
438,2.69941185240942,0.3348
439,4.25701909993452,0.3372
440,3.11007811764176,0.3333
441,3.19755138206491,0.3347
442,3.20197749523902,0.3237
443,0.839306409771203,0.3358
444,3.23711680441748,0.3341
445,2.69096357307614,0.3393
446,2.79975272708645,0.332
447,5.18739611324967,0.3297
448,0.142317755688122,0.3239
449,3.13993386520196,0.3363
450,3.48066574551474,0.3308
451,0.793772979219272,0.334
452,3.86697683330309,0.338
453,4.32472169210702,0.3319
454,2.24889981972877,0.336
455,3.62144635105411,0.3374
456,3.30416873304556,0.3333
457,2.53905464353827,0.3301
458,3.08825680345646,0.3322
459,3.04523482197081,0.3408
460,2.79396246660292,0.3337
461,2.64644318765531,0.3331
462,3.28813561422968,0.3437
463,3.79151773798239,0.3328
464,4.44871919547581,0.333
465,1.52942568206357,0.3281
466,4.06987411412096,0.3291
467,5.64969627321436,0.3419
468,2.19927479883922,0.3413
469,2.83918684835833,0.3337
470,0.759271496905306,0.3228
471,4.33652085665128,0.3445
472,2.94849142910396,0.336
473,3.99259736036565,0.3383
474,5.04691093936444,0.3303
475,2.60541903133429,0.3282
476,2.51314467168549,0.3404
477,1.19371673086305,0.335
478,3.76535790405824,0.3403
479,2.92669049524661,0.3408
480,1.21943417505692,0.3352
481,1.72084546379953,0.327
482,2.40098352318463,0.3309
483,3.83053147455445,0.3344
484,2.78996581258393,0.3273
485,2.62666125908025,0.3368
486,2.33442029414424,0.334
487,3.62942368036446,0.3434
488,3.46583720814487,0.3419
489,2.32830746299456,0.342
490,3.55201825601044,0.3298
491,4.59736823342226,0.3384
492,3.02483497325676,0.336
493,1.69076218582958,0.3342
494,3.22355586229028,0.3294
495,3.84010977103288,0.3401
496,1.6260944248121,0.336
497,2.66344720988048,0.3364
498,2.63746183595444,0.3349
499,1.39946353712994,0.3306
500,4.49475623520716,0.3342
501,2.91520336074825,0.3318
502,1.83806730254762,0.3375
503,2.84884939081684,0.3373
504,3.5081214131248,0.3424
505,1.80840441131817,0.3357
506,3.01996770408695,0.3359
507,2.48053614035284,0.3356
508,1.91256186276598,0.3369
509,3.51958032751355,0.3258
510,3.42829199120316,0.3403
511,2.73587210798101,0.3339
512,1.97024373602982,0.3329
513,2.73173269575002,0.3442
514,4.09663591746449,0.3386
515,1.26760432541856,0.3231
516,1.126905676216,0.325
517,4.45860528291919,0.3362
518,2.84449149247553,0.3376
519,3.78400998879891,0.344
520,2.96631962956271,0.3343
521,3.33860763791051,0.3342
522,2.81283370386358,0.3308
523,4.07152299355804,0.3354
524,2.52301814699992,0.3322
525,3.17031868585223,0.3316
526,4.79341709068337,0.3356
527,3.80909489084028,0.3367
528,2.63019253756266,0.3371
529,1.74903319655865,0.3309
530,4.52014278709165,0.3397
531,3.48244352257408,0.3408
532,0.916477314232761,0.3328
533,2.13871827517287,0.3346
534,3.18609912572901,0.3348
535,3.14798384679008,0.3294
536,3.84256443011272,0.3358
537,2.12520404241797,0.3282
538,2.34817928923436,0.3315
539,4.04590539172155,0.3288
540,4.07807556074459,0.336
541,2.82712520630228,0.332
542,4.0268588883788,0.3359
543,2.68317534145223,0.3296
544,3.90698757764462,0.3314
545,1.525131889398,0.3323
546,1.29071794120731,0.3345
547,5.59434108141163,0.3348
548,1.92946413852232,0.3346
549,0.276112474563077,0.3284
550,3.16426108703011,0.3408
551,2.74742082765986,0.3306
552,2.35838369207828,0.3421
553,1.49313652726086,0.3358
554,3.91835137415045,0.3388
555,1.8182082428389,0.3352
556,2.40841133583134,0.3397
557,4.98384657093317,0.3322
558,0.52661348570864,0.3233
559,3.00239040301093,0.3381
560,4.67796984970025,0.3312
561,4.20682239147092,0.3334
562,2.21253498842691,0.3323
563,3.65898609712544,0.3332
564,3.34588373644759,0.3371
565,4.30771958689411,0.3448
566,3.05813293678046,0.3384
567,2.39010231849453,0.3378
568,2.84758635057088,0.3274
569,2.92967727259581,0.3389
570,1.7541098445455,0.3359
571,3.13375464311487,0.3356
572,3.69445403775386,0.3357
573,3.72345877254384,0.3376
574,2.67629274259844,0.3358
575,3.49395919396845,0.3378
576,3.52752032788958,0.3396
577,3.70368639090511,0.3335
578,2.90992404009405,0.3335
579,2.90745307413053,0.3368
580,3.96592282144383,0.3341
581,2.69746873376233,0.3393
582,2.52811685123522,0.3252
583,3.95855654670937,0.336
584,1.45550594636118,0.3319
585,4.27418633603922,0.3399
586,3.28416378870509,0.3394
587,1.53679271780772,0.333
588,2.41354512643862,0.3388
589,2.58217484315295,0.3411
590,2.76396366025132,0.3394
591,2.04643450520599,0.3288
592,3.19420310156526,0.3272
593,2.08730026459452,0.3391
594,4.00935197573852,0.3358
595,2.20850181039565,0.3385
596,2.61765275924333,0.337
597,1.84223065562712,0.3308
598,3.25834319868813,0.3366
599,3.45783078131756,0.3417
600,4.57912877105553,0.3456
601,3.15370347144731,0.3276
602,5.39489771391339,0.3348
603,2.66468766512516,0.3326
604,2.77873358455978,0.333
605,1.65219884537433,0.3267
606,1.63459865689754,0.3314
607,2.26739865946691,0.3358
608,3.4245821484162,0.3389
609,3.18713920961448,0.349
610,1.90217649609594,0.3272
611,3.24274858483613,0.3274
612,3.09389830145474,0.3468
613,2.05581907297979,0.3368
614,2.66017145048361,0.3309
615,1.99783975111539,0.3365
616,3.36691378729656,0.3289
617,3.94458368623639,0.3392
618,3.6179188814963,0.3362
619,3.73249964313781,0.3417
620,3.17532905178672,0.3266
621,2.77400678713999,0.336
622,1.76914352862205,0.3351
623,1.00622719759769,0.3272
624,1.39141395519107,0.33
625,0.599851382588212,0.335
626,2.86749047133464,0.3345
627,5.15232706616372,0.3237
628,3.56150214846643,0.3432
629,6.80307052003595,0.3402
630,4.89994293031189,0.333
631,1.63732300791263,0.3346
632,3.65760275891961,0.3428
633,1.69563121838786,0.3418
634,4.18170371301616,0.3314
635,0.563526542342056,0.3129
636,3.51100641380037,0.337
637,2.95094749387648,0.3323
638,5.00119453649427,0.3482
639,0.828672098371637,0.3261
640,1.89546253763198,0.3308
641,5.07539571328264,0.3371
642,2.29270225473494,0.3298
643,2.1750175643624,0.3294
644,3.22495776476699,0.3192
645,3.81853768728898,0.3399
646,2.62773990614384,0.3357
647,2.1726165228087,0.3283
648,2.01683599533205,0.3276
649,3.3189825183065,0.3382
650,3.38243583680306,0.3347
651,1.282472969384,0.3355
652,0.998548863680828,0.3303
653,0.154510047107501,0.3173
654,2.09504881002113,0.3446
655,3.34176164250036,0.3355
656,4.88802087777731,0.3286
657,2.10665402707594,0.3272
658,3.976623733363,0.3305
659,2.64338528477719,0.3334
660,2.81003996654716,0.3343
661,2.97311052292166,0.3453
662,2.7559895222583,0.3341
663,3.69795310842159,0.3387
664,5.13288950573417,0.3356
665,2.09543881015418,0.3282
666,2.18398400852126,0.3336
667,1.4763543393939,0.3239
668,3.0092627683643,0.3314
669,4.1122633279113,0.3363
670,2.25600773183421,0.3308
671,2.20152803673164,0.3334
672,2.35514218636377,0.3367
673,3.31187576017698,0.3298
674,3.93005846279727,0.3349
675,4.46740441920697,0.3382
676,2.92236245786502,0.3441
677,2.77160317710605,0.333
678,4.94365231571289,0.3345
679,3.36004264712505,0.3408
680,2.69232809339351,0.3313
681,2.05383620808034,0.3272
682,3.52292301382368,0.3302
683,0.507005828770408,0.3312
684,3.09681581619377,0.337
685,3.40097445787632,0.3483
686,0.769477264078441,0.3386
687,2.93909468650521,0.3288
688,3.02925120498597,0.3373
689,3.64740845118413,0.3388
690,1.38291483278412,0.3336
691,4.21732986882648,0.3406
692,3.62710250070518,0.3372
693,2.1352465995809,0.3292
694,1.91851489809699,0.3342
695,1.56962374978033,0.3278
696,2.05892578729555,0.3369
697,2.86275240632699,0.3329
698,4.23800389638299,0.3397
699,2.25188679304178,0.3346
700,2.85550768368509,0.3361
701,3.85984848424995,0.3308
702,3.35834028072355,0.3374
703,3.30192557165323,0.3273
704,3.10151870813579,0.3335
705,2.71253729488128,0.3368
706,2.0080891046142,0.3415
707,2.56710669729727,0.329
708,2.9438129228226,0.3326
709,2.31086852123142,0.3361
710,1.93434521779633,0.3287
711,3.26132577525117,0.3324
712,3.87049329698741,0.3359
713,2.3146857785211,0.333
714,2.81841181640672,0.339
715,4.65290995757947,0.3394
716,1.8684011066607,0.3353
717,3.60524825920673,0.3381
718,1.67231926759143,0.3384
719,4.69440411028524,0.3351
720,4.12901294550473,0.3377
721,1.10090576024968,0.3273
722,3.44280851249234,0.3346
723,1.8643208115844,0.324
724,4.13108159978032,0.3356
725,1.44503356930608,0.3305
726,2.50121247694803,0.3399
727,1.85577823080478,0.3297
728,2.20428041823912,0.3378
729,4.53712584719753,0.3337
730,4.05432172303585,0.3342
731,2.50405527291407,0.3404
732,4.70759588110544,0.3405
733,2.73732318702103,0.336
734,4.64423751722849,0.3347
735,3.38622223079337,0.3316
736,1.25396411772472,0.3318
737,4.35046027817939,0.3409
738,2.953658748554,0.3342
739,2.91807130787202,0.3372
740,2.23916165843705,0.3279
741,1.56448661290014,0.3279
742,3.41524253434502,0.3318
743,2.9035278893075,0.3329
744,2.87644453669118,0.3273
745,3.69081933886554,0.344
746,4.81779291650555,0.3203
747,2.33956350517976,0.3297
748,3.71075925090507,0.33
749,2.41080048022706,0.3353
750,1.9316190703316,0.3316
751,1.70296588390776,0.3311
752,1.95371353532251,0.3373
753,4.55847200808689,0.3251
754,3.44977888462677,0.3328
755,2.22324622997967,0.3312
756,4.58634281374797,0.3359
757,1.02756550951766,0.321
758,1.51073027441818,0.3355
759,3.91497457992463,0.3456
760,3.51869287533528,0.3334
761,1.79012382919091,0.3272
762,3.5878546272947,0.3382
763,3.00053207354622,0.337
764,1.96093857167329,0.3348
765,2.5216608960526,0.3316
766,1.55249081150468,0.3318
767,4.19647323204229,0.332
768,3.88140176218217,0.3382
769,1.18381194954156,0.3284
770,3.08971961471223,0.3374
771,3.60004676972624,0.3469
772,1.07235191480713,0.331
773,2.38677417894054,0.3252
774,3.37943327925928,0.3271
775,2.80612886300063,0.3269
776,1.74223713176609,0.3353
777,1.48318699834703,0.3338
778,2.33495235083467,0.3362
779,4.29752432472246,0.3445
780,5.45587135957793,0.334
781,2.1041014088661,0.3336
782,3.4348329320475,0.3352
783,2.16260597822783,0.3366
784,2.93752012872174,0.3318
785,3.00577241507211,0.3291
786,3.60844512004863,0.338
787,1.73429442455327,0.3305
788,3.65071832391739,0.3356
789,3.67398896823869,0.3345
790,3.02246089354349,0.3377
791,1.93879035591511,0.3316
792,3.0483444711659,0.3336
793,2.54076435800798,0.3262
794,4.11888207034941,0.3355
795,3.85065511254551,0.34
796,2.83257250588625,0.3292
797,3.97244960400185,0.3404
798,3.16119040309131,0.3399
799,3.53053532381742,0.3394
800,1.77938135854109,0.3336
801,4.8490399659863,0.3381
802,1.84657847797605,0.3357
803,1.51646300597005,0.3277
804,2.78601873356867,0.3343
805,4.47130344203682,0.3405
806,1.90630492044047,0.3333
807,2.22476692910896,0.3404
808,4.4142792538628,0.3395
809,2.88320947991696,0.3355
810,3.35133784386196,0.3328
811,2.11338294651332,0.3354
812,3.98078455632891,0.3325
813,2.50765267566829,0.3419
814,4.06294357152133,0.3315
815,3.18255844622101,0.3356
816,2.56444982631166,0.3372
