Observation,Strain,Lineage,Serotype,Source,Condition,Phase,Nisin,Temperature,Replicate,Age,Date,Day,Inoculum,Log_CFU,Log_Diff,AgeGroup,Native_Microbiota
116,FSL L4-0396,II,1/2a,Environment,BHI,Stationary,Minus,7,4,86,2/6/19,1,5.91,6.2,0.3,BHI4,3.7
117,FSL N1-0061,I,4b,Environment,BHI,Stationary,Minus,7,4,86,2/6/19,1,6.05,6.36,0.31,BHI4,3.7
118,FSL F2-0237,II,1/2a,Salmon,BHI,Stationary,Minus,7,4,86,2/6/19,1,5.91,6.07,0.15,BHI4,3.7
119,FSL L3-0051,I,1/2b,Salmon,BHI,Stationary,Minus,7,4,86,2/6/19,1,5.89,6.19,0.3,BHI4,3.7
120,FSL L4-0060,I,1/2b,Environment,BHI,Stationary,Minus,7,4,86,2/6/19,1,5.79,6.39,0.6,BHI4,3.7
121,FSL F2-0310,I,4b,Salmon,BHI,Stationary,Plus,7,4,86,2/20/19,15,5.88,8.36,2.43,BHI4,6.4
122,FSL L4-0396,II,1/2a,Environment,BHI,Stationary,Plus,7,4,86,2/20/19,15,5.91,8.12,2.73,BHI4,4.88
123,FSL N1-0061,I,4b,Environment,BHI,Stationary,Plus,7,4,86,2/20/19,15,6.05,7.67,2.45,BHI4,8.18
124,FSL F2-0237,II,1/2a,Salmon,BHI,Stationary,Plus,7,4,86,2/20/19,15,5.91,8.07,3.04,BHI4,5.7
125,FSL L3-0051,I,1/2b,Salmon,BHI,Stationary,Plus,7,4,86,2/20/19,15,5.89,8.05,3.38,BHI4,5.7
126,FSL L4-0060,I,1/2b,Environment,BHI,Stationary,Plus,7,4,86,2/20/19,15,5.79,7.94,3.74,BHI4,5.7
127,FSL F2-0310,I,4b,Salmon,BHI,Stationary,Minus,7,4,86,2/20/19,15,5.88,9.12,2.97,BHI4,5.7
128,FSL L4-0396,II,1/2a,Environment,BHI,Stationary,Minus,7,4,86,2/20/19,15,5.91,9.11,2.91,BHI4,5.7
129,FSL N1-0061,I,4b,Environment,BHI,Stationary,Minus,7,4,86,2/20/19,15,6.05,9.16,2.8,BHI4,5.7
130,FSL F2-0237,II,1/2a,Salmon,BHI,Stationary,Minus,7,4,86,2/20/19,15,5.91,9,2.93,BHI4,5.7
131,FSL L3-0051,I,1/2b,Salmon,BHI,Stationary,Minus,7,4,86,2/20/19,15,5.89,9.04,2.85,BHI4,5.7
132,FSL L4-0060,I,1/2b,Environment,BHI,Stationary,Minus,7,4,86,2/20/19,15,5.79,9.27,2.88,BHI4,5.7
133,FSL F2-0310,I,4b,Salmon,BHI,Stationary,Plus,7,4,86,3/7/19,30,5.88,8.73,0.37,BHI4,6.76
134,FSL L4-0396,II,1/2a,Environment,BHI,Stationary,Plus,7,4,86,3/7/19,30,5.91,8.95,0.83,BHI4,6.3
135,FSL N1-0061,I,4b,Environment,BHI,Stationary,Plus,7,4,86,3/7/19,30,6.05,8.75,1.08,BHI4,6.65
136,FSL F2-0237,II,1/2a,Salmon,BHI,Stationary,Plus,7,4,86,3/7/19,30,5.91,8.37,0.3,BHI4,6
137,FSL L3-0051,I,1/2b,Salmon,BHI,Stationary,Plus,7,4,86,3/7/19,30,5.89,8.07,0.02,BHI4,6.96
138,FSL L4-0060,I,1/2b,Environment,BHI,Stationary,Plus,7,4,86,3/7/19,30,5.79,8.42,0.48,BHI4,6.4
139,FSL F2-0310,I,4b,Salmon,BHI,Stationary,Minus,7,4,86,3/7/19,30,5.88,9.23,0.11,BHI4,7.24
140,FSL L4-0396,II,1/2a,Environment,BHI,Stationary,Minus,7,4,86,3/7/19,30,5.91,9.12,0.01,BHI4,6.88
141,FSL N1-0061,I,4b,Environment,BHI,Stationary,Minus,7,4,86,3/7/19,30,6.05,8.99,-0.17,BHI4,6.4
142,FSL F2-0237,II,1/2a,Salmon,BHI,Stationary,Minus,7,4,86,3/7/19,30,5.91,9.09,0.09,BHI4,6.7
143,FSL L3-0051,I,1/2b,Salmon,BHI,Stationary,Minus,7,4,86,3/7/19,30,5.89,9.16,0.12,BHI4,6.7
144,FSL L4-0060,I,1/2b,Environment,BHI,Stationary,Minus,7,4,86,3/7/19,30,5.79,9.2,-0.07,BHI4,6.7
145,FSL F2-0310,I,4b,Salmon,NaCl,Stationary,Plus,7,1,5,10/18/18,1,5.55,4.67,-0.88,NaCl1,1.7
146,FSL L4-0396,II,1/2a,Environment,NaCl,Stationary,Plus,7,1,5,10/18/18,1,5.87,3.78,-2.09,NaCl1,1.7
147,FSL N1-0061,I,4b,Environment,NaCl,Stationary,Plus,7,1,5,10/18/18,1,5.79,5.38,-0.41,NaCl1,1.7
148,FSL F2-0237,II,1/2a,Salmon,NaCl,Stationary,Plus,7,1,5,10/18/18,1,5.83,3.95,-1.88,NaCl1,1.7
149,FSL L3-0051,I,1/2b,Salmon,NaCl,Stationary,Plus,7,1,5,10/18/18,1,5.53,2.44,-3.09,NaCl1,1.7
150,FSL L4-0060,I,1/2b,Environment,NaCl,Stationary,Plus,7,1,5,10/18/18,1,5.67,4.58,-1.09,NaCl1,1.7
151,FSL F2-0310,I,4b,Salmon,NaCl,Stationary,Minus,7,1,5,10/18/18,1,5.55,6.22,0.67,NaCl1,3.7
152,FSL L4-0396,II,1/2a,Environment,NaCl,Stationary,Minus,7,1,5,10/18/18,1,5.87,6.43,0.56,NaCl1,3.7
153,FSL N1-0061,I,4b,Environment,NaCl,Stationary,Minus,7,1,5,10/18/18,1,5.79,6.44,0.65,NaCl1,3.7
154,FSL F2-0237,II,1/2a,Salmon,NaCl,Stationary,Minus,7,1,5,10/18/18,1,5.83,6.36,0.53,NaCl1,3.7
155,FSL L3-0051,I,1/2b,Salmon,NaCl,Stationary,Minus,7,1,5,10/18/18,1,5.53,6.39,0.86,NaCl1,3.7
156,FSL L4-0060,I,1/2b,Environment,NaCl,Stationary,Minus,7,1,5,10/18/18,1,5.67,6.23,0.56,NaCl1,3.7
157,FSL F2-0310,I,4b,Salmon,NaCl,Stationary,Plus,7,1,5,11/1/18,15,5.55,7.41,1.86,NaCl1,5.54
158,FSL L4-0396,II,1/2a,Environment,NaCl,Stationary,Plus,7,1,5,11/1/18,15,5.87,7.36,1.49,NaCl1,6.63
159,FSL N1-0061,I,4b,Environment,NaCl,Stationary,Plus,7,1,5,11/1/18,15,5.79,7.13,1.34,NaCl1,5.68
160,FSL F2-0237,II,1/2a,Salmon,NaCl,Stationary,Plus,7,1,5,11/1/18,15,5.83,5.89,0.06,NaCl1,5
161,FSL L3-0051,I,1/2b,Salmon,NaCl,Stationary,Plus,7,1,5,11/1/18,15,5.53,4.88,-0.65,NaCl1,5.1
162,FSL L4-0060,I,1/2b,Environment,NaCl,Stationary,Plus,7,1,5,11/1/18,15,5.67,7.94,2.27,NaCl1,4.7
163,FSL F2-0310,I,4b,Salmon,NaCl,Stationary,Minus,7,1,5,11/1/18,15,5.55,8.74,3.19,NaCl1,5.7
164,FSL L4-0396,II,1/2a,Environment,NaCl,Stationary,Minus,7,1,5,11/1/18,15,5.87,8.89,3.02,NaCl1,6.18
165,FSL N1-0061,I,4b,Environment,NaCl,Stationary,Minus,7,1,5,11/1/18,15,5.79,8.97,3.18,NaCl1,6.18
166,FSL F2-0237,II,1/2a,Salmon,NaCl,Stationary,Minus,7,1,5,11/1/18,15,5.83,8.73,2.9,NaCl1,5.7
